name,calories,protein_g,carbs_g,fat_g,fibre_g,food_group,diet_type,source
"Pomegranate, maroon seeds",229,1.1,11.6,0.2,2.8,"Fruits","non-vegetarian","IFCT2017"
"Pummelo",210,0.7,10.6,0.4,0.8,"Fruits","non-vegetarian","IFCT2017"
"Raisins, dried, black",1279,2,71.3,0.3,3.9,"Fruits","non-vegetarian","IFCT2017"
"Raisins, dried, golden",1241,2.2,68.8,0.4,4.6,"Fruits","non-vegetarian","IFCT2017"
"Rambutan",306,0.7,16.8,0.2,1,"Fruits","non-vegetarian","IFCT2017"
"Sapota",307,0.8,13.9,1.3,9.6,"Fruits","non-vegetarian","IFCT2017"
"Soursop",260,0.7,11.9,0.9,5,"Fruits","non-vegetarian","IFCT2017"
"Star fruit",110,0.7,4.5,0.4,2.8,"Fruits","non-vegetarian","IFCT2017"
"Strawberry",103,0.9,3.4,0.6,2.5,"Fruits","non-vegetarian","IFCT2017"
"Tamarind, pulp",1207,2.4,67.4,0.2,5.3,"Fruits","non-vegetarian","IFCT2017"
"Water melon, dark green (sugar baby)",85,0.5,3.9,0.2,0.7,"Fruits","non-vegetarian","IFCT2017"
"Water melon, pale green",70,0.5,3,0.2,0.8,"Fruits","non-vegetarian","IFCT2017"
"Wood Apple",327,3,7.5,3.6,5.2,"Fruits","non-vegetarian","IFCT2017"
"Zizyphus",204,1.3,9.4,0.4,3.7,"Fruits","non-vegetarian","IFCT2017"
"Beet root",149,1.8,6.2,0.1,3.3,"Roots and Tubers","non-vegetarian","IFCT2017"
"Carrot, orange",139,0.9,5.6,0.5,4.2,"Roots and Tubers","non-vegetarian","IFCT2017"
"Carrot, red",160,1,6.7,0.5,4.5,"Roots and Tubers","non-vegetarian","IFCT2017"
"Colocasia",372,2.9,17.9,0.2,3.2,"Roots and Tubers","non-vegetarian","IFCT2017"
"Lotus root",332,1.8,14.7,0.9,4.7,"Roots and Tubers","non-vegetarian","IFCT2017"
"Potato, brown skin, big",292,1.5,14.9,0.2,1.7,"Roots and Tubers","non-vegetarian","IFCT2017"
"Potato, brown skin, small",255,1.1,12.9,0.2,1.7,"Roots and Tubers","non-vegetarian","IFCT2017"
"Potato, red skin",306,1.5,15.4,0.2,1.7,"Roots and Tubers","non-vegetarian","IFCT2017"
"Radish, elongate, red skin",134,0.6,6.7,0.1,2.5,"Roots and Tubers","non-vegetarian","IFCT2017"
"Radish, elongate, white skin",135,0.7,6.6,0.2,2.7,"Roots and Tubers","non-vegetarian","IFCT2017"
"Radish, round, red skin",130,0.8,6.1,0.2,2.3,"Roots and Tubers","non-vegetarian","IFCT2017"
"Radish, round, white skin",129,0.7,6.1,0.1,2.4,"Roots and Tubers","non-vegetarian","IFCT2017"
"Sweet potato, brown skin",456,1.4,24.3,0.3,4,"Roots and Tubers","non-vegetarian","IFCT2017"
"Sweet potato, pink skin",452,1.2,23.9,0.3,3.9,"Roots and Tubers","non-vegetarian","IFCT2017"
"Tapioca",334,0.9,17.8,0.2,4.6,"Roots and Tubers","non-vegetarian","IFCT2017"
"Water Chestnut",400,0.8,21.5,0.4,3,"Roots and Tubers","non-vegetarian","IFCT2017"
"Yam, elephant",353,2.5,17.5,0.1,4.2,"Roots and Tubers","non-vegetarian","IFCT2017"
"Yam, ordinary",349,2,17.7,0.2,4.1,"Roots and Tubers","non-vegetarian","IFCT2017"
"Yam, wild",430,3,21,0.3,4.6,"Roots and Tubers","non-vegetarian","IFCT2017"
"Chillies, green-1",191,2.3,6.3,0.7,4.9,"Condiments and Spices","non-vegetarian","IFCT2017"
"Chillies, green-2",167,2,5.3,0.8,5.1,"Condiments and Spices","non-vegetarian","IFCT2017"
"Chillies, green-3",169,2.2,5.2,0.8,5.1,"Condiments and Spices","non-vegetarian","IFCT2017"
"Chillies, green-4",190,2,6.6,0.7,4.2,"Condiments and Spices","non-vegetarian","IFCT2017"
"Chillies, green-5",180,1.8,6.6,0.7,4,"Condiments and Spices","non-vegetarian","IFCT2017"
"Chillies, green-6",175,2.5,5.3,0.6,5.2,"Condiments and Spices","non-vegetarian","IFCT2017"
"Chillies, green-7",163,1.9,5.6,0.6,5,"Condiments and Spices","non-vegetarian","IFCT2017"
"Chillies, green - all varieties",177,2.1,5.9,0.7,4.8,"Condiments and Spices","non-vegetarian","IFCT2017"
"Coriander leaves",130,3.2,1.9,0.7,4.7,"Condiments and Spices","non-vegetarian","IFCT2017"
"Curry leaves",266,6.7,4.5,1.1,16.8,"Condiments and Spices","non-vegetarian","IFCT2017"
"Garlic, big clove",518,6,21.9,0.2,5.2,"Condiments and Spices","non-vegetarian","IFCT2017"
"Garlic, small clove",514,5.7,21.8,0.1,5.5,"Condiments and Spices","non-vegetarian","IFCT2017"
"Garlic, single clove, Kashmir",523,5.7,23.5,0.2,4,"Condiments and Spices","non-vegetarian","IFCT2017"
